NistkastenNummer,Ort
1,Norddöllen
2,Varnhorn
3,Varnhorn
4,Varnhorn
5,Varnhorn
6,Varnhorn
7,Varnhorn
8,Varnhorn
9,Varnhorn
10,Varnhorn
11,Varnhorn
12,Varnhorn
13,Varnhorn
14,Varnhorn
15,Varnhorn
16,Varnhorn
17,Varnhorn
18,Varnhorn
19,Varnhorn
20,Varnhorn
21,Varnhorn
22,Visbek
23,Visbek
24,Visbek
25,Visbek
26,Visbek
27,Visbek
28,Visbek
29,Visbek
30,Visbek
31,Visbek
32,Visbek
33,Visbek
34,Visbek
35,Visbek
36,Visbek
37,Visbek
38,Visbek
39,Visbek
40,Visbek
41,Visbek
42,Visbek
43,Visbek
44,Visbek
45,Visbek
46,Visbek
47,Visbek
48,Visbek
49,Visbek
50,Visbek
51,Visbek
52,Visbek
53,Visbek
54,Visbek
55,Visbek
56,Visbek
57,Visbek
58,Visbek
59,Visbek
60,Visbek
61,Visbek
62,Visbek
63,Visbek
64,Visbek
65,Visbek
66,Visbek
67,Visbek
68,Visbek
69,Visbek
70,Visbek
71,Visbek
72,Visbek
73,Visbek
74,Visbek
75,Visbek
76,Visbek
77,Visbek
78,Visbek
79,Visbek
80,Visbek
81,Visbek
82,Visbek
83,Visbek
84,Visbek
85,Visbek
86,Visbek
87,Visbek
88,Visbek
89,Visbek
90,Visbek
91,Visbek
92,Visbek
93,Visbek
94,Visbek
95,Visbek
96,Visbek
97,Visbek
98,Visbek
99,Visbek
100,Visbek
101,Visbek
102,Visbek
103,Visbek
104,Visbek
105,Visbek
106,Visbek
107,Visbek
108,Visbek
109,Visbek
110,Visbek
111,Visbek
112,
113,Visbek
